discussions_count,comments_count,movie_count,screenshot_count,awards_count,link_count,file_size_mb,change_notes,certified_compatible,creator_count,featured_collection_count,visitors_count,favorites_count,accepted,posted_time,updated_time,passed_time,media_count,class_count,item_slot_count,submitted_by_submitter,class_scout,class_soldier,class_pyro,class_demoman,class_heavy,class_engineer,class_medic,class_sniper,class_spy,item_slot_headgear,item_slot_misc,item_slot_taunt,item_slot_weapon,v1,v2,v3,v4,v5
0,246,0,3,0,0,5.29,5,1,1,202,11889,1140,1,2012,2013,0,3,1,2,209,0,0,0,0,0,0,1,0,0,0,1,0,1,0.17719298245614035,246.0,11889.0,48.1336032388664,0.75
1,207,0,3,0,0,5.311,5,1,1,124,9332,1048,1,2012,2013,0,3,1,1,209,0,0,0,0,0,0,1,0,0,1,0,0,0,0.1183206106870229,103.5,4666.0,44.86538461538461,0.75
0,70,0,7,1,0,10.293,3,1,2,24,4690,239,1,2012,2016,3,7,9,1,139,1,1,1,1,1,1,1,1,1,1,0,0,0,0.100418410041841,70.0,4690.0,66.05633802816901,0.875
0,5,0,0,0,0,7.127,1,1,3,9,1414,59,1,2017,2017,0,0,9,1,78,1,1,1,1,1,1,1,1,1,0,1,0,0,0.15254237288135594,5.0,1414.0,235.66666666666666,0.0
0,134,0,2,1,0,4.205,3,1,1,60,5707,456,1,2012,2013,0,2,9,1,117,1,1,1,1,1,1,1,1,1,1,0,0,0,0.13157894736842105,134.0,5707.0,42.27407407407407,0.6666666666666666
0,9,0,0,0,0,0.025,1,0,5,54,1466,67,1,2012,2012,0,0,1,1,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0.8059701492537313,9.0,1466.0,146.6,0.0
5,193,0,0,2,0,0.05,1,0,5,920,25059,986,1,2012,2012,0,0,1,1,17,0,0,0,0,0,0,0,0,1,0,0,0,1,0.9330628803245437,32.166666666666664,4176.5,129.1701030927835,0.0
0,40,0,0,0,0,0.026,1,0,4,107,4783,141,1,2012,2012,0,0,9,1,17,1,1,1,1,1,1,1,1,1,1,0,0,0,0.7588652482269503,40.0,4783.0,116.65853658536585,0.0
0,22,0,0,0,0,0.047,1,0,5,42,1468,65,1,2012,2012,0,0,9,1,17,1,1,1,1,1,1,1,1,1,0,1,0,0,0.6461538461538462,22.0,1468.0,63.82608695652174,0.0
0,24,0,0,0,0,0.036,1,0,5,32,2409,73,1,2012,2012,0,0,1,1,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0.4383561643835616,24.0,2409.0,96.36,0.0
0,57,0,0,0,0,0.027,1,0,4,103,5602,198,1,2012,2012,0,0,5,1,17,0,1,1,1,0,1,0,1,0,0,1,0,0,0.5202020202020202,57.0,5602.0,96.58620689655173,0.0
