discussions_count,comments_count,movie_count,screenshot_count,awards_count,link_count,file_size_mb,change_notes,certified_compatible,creator_count,featured_collection_count,visitors_count,favorites_count,accepted,posted_time,updated_time,passed_time,media_count,class_count,item_slot_count,submitted_by_submitter,class_scout,class_soldier,class_pyro,class_demoman,class_heavy,class_engineer,class_medic,class_sniper,class_spy,item_slot_headgear,item_slot_misc,item_slot_taunt,item_slot_weapon
0,677,0,5,0,0,5.13,3,1,2,126,22671,1493,1,1354029300.0,1371146160.0,17116860.0,5,1,1,172,0,0,0,0,1,0,0,0,0,0,1,0,0
0,4,0,5,0,0,5.816,2,1,3,81,2660,188,1,1502274660.0,1509452700.0,7178040.0,5,1,1,57,1,0,0,0,0,0,0,0,0,0,1,0,0
9,33,0,5,2,0,6.417,3,1,3,280,15138,899,1,1502274780.0,1539219840.0,36945060.0,5,1,1,57,1,0,0,0,0,0,0,0,0,0,1,0,0
2,17,0,5,0,0,5.584,3,1,3,92,6866,311,1,1502274840.0,1539219780.0,36944940.0,5,1,1,57,1,0,0,0,0,0,0,0,0,0,1,0,0
1,20,0,0,0,0,0.182,1,0,3,59,3193,100,1,1354097820.0,1354097820.0,0.0,0,1,1,10,0,0,0,1,0,0,0,0,0,0,1,0,0
1,26,0,0,2,0,0.233,1,0,3,112,3507,188,1,1354098000.0,1354098000.0,0.0,0,2,1,10,0,0,0,1,1,0,0,0,0,1,0,0,0
0,16,0,0,1,0,0.147,1,0,3,59,2181,82,1,1354098180.0,1354098180.0,0.0,0,1,1,10,0,0,0,0,0,0,0,1,0,1,0,0,0
1,25,0,0,0,0,0.131,1,0,3,128,3965,220,1,1354098300.0,1354098300.0,0.0,0,1,1,10,0,0,0,0,0,0,1,0,0,0,1,0,0
0,39,0,0,6,0,0.134,1,0,3,308,7411,410,1,1354098360.0,1354098360.0,0.0,0,1,1,10,0,0,0,0,0,0,0,0,1,0,1,0,0
0,56,0,0,0,0,0.213,1,0,3,302,10215,284,1,1354098480.0,1354098480.0,0.0,0,7,1,10,1,1,1,1,1,0,1,1,0,0,0,0,1
0,21,0,0,1,0,0.257,1,0,3,245,6451,277,1,1354106820.0,1354106820.0,0.0,0,2,1,10,0,1,0,1,0,0,0,0,0,0,1,0,0
