discussions_count,comments_count,movie_count,screenshot_count,awards_count,link_count,file_size_mb,change_notes,certified_compatible,creator_count,featured_collection_count,visitors_count,favorites_count,accepted,posted_time,updated_time,passed_time,media_count,class_count,item_slot_count,submitted_by_submitter,class_scout,class_soldier,class_pyro,class_demoman,class_heavy,class_engineer,class_medic,class_sniper,class_spy,item_slot_headgear,item_slot_misc,item_slot_taunt,item_slot_weapon
1,14,1,1,0,0,0.005,1,0,2,13,2921,128,0,1541860440.0,1565763780.0,23903340.0,2,9,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
2,29,0,2,0,0,5.006,3,1,2,14,1883,96,0,1372401180.0,1372471860.0,70680.0,2,1,1,6,0,0,0,0,0,0,0,1,0,0,1,0,0
0,17,0,3,0,0,6.5440000000000005,1,1,1,20,1623,103,0,1372402260.0,1372402260.0,0.0,3,1,1,51,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0,1,0,0,5.35,1,0,1,3,945,13,0,1372406520.0,1372406520.0,0.0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,20,0,2,0,0,3.915,1,1,2,5,1337,32,0,1372407840.0,1372407840.0,0.0,2,1,1,7,0,1,0,0,0,0,0,0,0,1,0,0,0
0,5,0,2,0,0,5.378,1,1,1,7,557,54,0,1372410060.0,1372410060.0,0.0,2,1,1,31,0,0,1,0,0,0,0,0,0,1,0,0,0
0,8,0,2,0,0,5.317,1,1,1,11,427,48,0,1372410180.0,1372410180.0,0.0,2,1,1,31,0,0,1,0,0,0,0,0,0,0,1,0,0
0,6,0,2,1,0,5.263,1,1,1,11,526,55,0,1372410300.0,1372410300.0,0.0,2,1,1,31,0,0,1,0,0,0,0,0,0,0,1,0,0
0,2,0,6,0,1,2.258,1,0,2,17,1614,65,0,1541896980.0,1541896980.0,0.0,6,9,0,59,1,1,1,1,1,1,1,1,1,0,0,0,0
0,9,0,5,0,0,2.586,1,0,1,5,1591,58,0,1541902740.0,1541902740.0,0.0,5,9,0,4,1,1,1,1,1,1,1,1,1,0,0,0,0
0,2,0,6,0,0,2.286,1,0,1,13,1566,53,0,1541904720.0,1541904720.0,0.0,6,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,1,1,0,0,0.002,1,0,1,2,1041,18,0,1541909160.0,1541909160.0,0.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,172,0,3,0,0,5.85,1,1,2,131,8992,1003,0,1372417260.0,1372417260.0,0.0,3,1,1,153,1,0,0,0,0,0,0,0,0,0,1,0,0
2,160,0,3,1,0,5.487,1,1,2,70,7208,822,0,1372417380.0,1372417380.0,0.0,3,1,1,153,0,0,0,0,1,0,0,0,0,0,1,0,0
2,115,0,3,17,0,5.496,1,1,2,116,11405,1192,0,1372417440.0,1372417440.0,0.0,3,1,0,153,0,0,0,0,0,0,0,1,0,0,0,0,0
0,11,0,4,0,0,4.162,2,1,2,4,1555,79,0,1372419960.0,1372421580.0,1620.0,4,1,1,9,0,1,0,0,0,0,0,0,0,1,0,0,0
1,8,0,6,0,0,10.671,1,1,4,18,1778,106,0,1541921460.0,1541921460.0,0.0,6,9,1,154,1,1,1,1,1,1,1,1,1,1,0,0,0
0,81,0,4,0,1,7.365,1,1,3,56,5402,427,0,1372421520.0,1372421520.0,0.0,4,2,1,36,1,0,0,0,1,0,0,0,0,0,1,0,0
0,37,0,2,0,0,6.338,2,1,1,67,3592,410,0,1372422480.0,1381025520.0,8603040.0,2,1,1,76,0,0,0,0,1,0,0,0,0,0,1,0,0
1,81,0,3,0,1,7.28,1,1,3,71,5318,365,0,1372422540.0,1372422540.0,0.0,3,2,1,36,1,0,0,0,1,0,0,0,0,1,0,0,0
0,9,0,4,0,0,3.784,3,1,2,12,1333,76,0,1372428600.0,1372848780.0,420180.0,4,1,1,16,0,0,1,0,0,0,0,0,0,0,1,0,0
4,53,0,4,13,0,8.946,1,1,4,51,7099,634,0,1541947020.0,1541947020.0,0.0,4,1,1,82,0,0,0,0,0,0,0,0,1,0,1,0,0
0,4,0,0,1,0,8.121,2,1,4,14,2159,80,0,1541947440.0,1557301320.0,15353880.0,0,1,1,82,0,0,0,0,0,0,0,0,1,0,1,0,0
0,6,0,5,0,0,5.945,1,1,4,15,1794,119,0,1541949840.0,1541949840.0,0.0,5,2,1,89,1,0,0,1,0,0,0,0,0,1,0,0,0
3,20,0,5,8,0,10.379,1,1,4,38,5008,525,0,1541953920.0,1541953920.0,0.0,5,1,2,124,0,0,0,0,1,0,0,0,0,1,1,0,0
2,4,0,5,1,0,6.8469999999999995,1,1,4,22,1688,223,0,1541954760.0,1541954760.0,0.0,5,1,0,124,0,0,0,0,1,0,0,0,0,0,0,0,0
2,6,0,4,5,0,6.531,1,1,4,27,2551,310,0,1541955060.0,1541955060.0,0.0,4,1,1,124,0,0,0,0,1,0,0,0,0,0,1,0,0
0,89,0,2,0,0,7.897,2,1,2,53,7264,577,0,1372435320.0,1372435920.0,600.0,2,9,1,3,1,1,1,1,1,1,1,1,1,0,1,0,0
4,367,0,1,11,0,9.405,2,1,3,273,28728,2505,0,1372435440.0,1372436100.0,660.0,1,9,1,3,1,1,1,1,1,1,1,1,1,0,1,0,0
1,28,0,2,0,1,2.9130000000000003,1,1,1,21,1542,69,0,1372444860.0,1372444860.0,0.0,2,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,5,0,0,6.352,1,1,4,15,521,58,0,1542001260.0,1542001260.0,0.0,5,2,1,154,0,1,1,0,0,0,0,0,0,0,1,0,0
0,5,0,4,1,0,5.564,1,1,4,23,1005,107,0,1542001560.0,1542001560.0,0.0,4,1,1,154,0,1,0,0,0,0,0,0,0,1,0,0,0
14,319,0,16,4,0,2.544,1,0,1,286,16474,1038,0,1372450020.0,1372450020.0,0.0,16,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,79,0,3,3,0,5.642,1,0,1,131,8591,647,0,1372464240.0,1372464240.0,0.0,3,1,1,210,0,1,0,0,0,0,0,0,0,0,0,0,1
1,73,1,4,1,0,0.616,2,0,1,113,4065,228,0,1372466880.0,1372802340.0,335460.0,5,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1
0,49,0,2,1,0,3.02,1,1,2,22,5125,224,0,1372467360.0,1372467360.0,0.0,2,1,1,100,0,0,0,0,0,0,1,0,0,0,1,0,0
1,6,0,4,0,0,5.928,2,1,1,17,3000,142,0,1542074400.0,1542245040.0,170640.0,4,1,1,43,0,0,1,0,0,0,0,0,0,0,1,0,0
0,4,0,2,0,0,3.784,2,1,1,5,1110,33,0,1372471620.0,1372472280.0,660.0,2,1,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0
0,5,0,4,1,0,0.166,1,0,2,16,1766,108,0,1542098640.0,1542098640.0,0.0,4,9,0,24,1,1,1,1,1,1,1,1,1,0,0,0,0
2,6,0,0,0,0,5.612,1,1,3,2,1536,23,0,1542098940.0,1542098940.0,0.0,0,1,2,266,1,0,0,0,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,5.422,1,1,3,5,1777,25,0,1542099120.0,1542099120.0,0.0,0,1,2,266,1,0,0,0,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,5.563,1,1,3,1,1486,14,0,1542099300.0,1542099300.0,0.0,0,1,2,266,1,0,0,0,0,0,0,0,0,1,1,0,0
0,3,0,2,0,0,5.362,1,1,1,4,772,13,0,1372478100.0,1372478100.0,0.0,2,1,1,31,1,0,0,0,0,0,0,0,0,1,0,0,0
0,3,0,2,0,0,3.777,1,1,1,5,1078,37,0,1372479720.0,1372479720.0,0.0,2,1,1,31,0,0,0,0,0,1,0,0,0,1,0,0,0
2,119,1,4,3,0,3.626,1,0,2,69,10777,640,0,1372481220.0,1372481220.0,0.0,5,1,1,95,0,0,0,0,0,0,0,1,0,0,0,0,1
3,60,0,4,0,0,3.329,1,0,2,69,8625,539,0,1372481340.0,1372481340.0,0.0,4,1,1,95,0,0,0,0,0,0,0,1,0,0,0,0,1
0,29,0,3,0,0,6.681,1,1,2,30,2284,256,0,1372481460.0,1372481460.0,0.0,3,1,1,139,0,0,0,0,0,0,0,1,0,0,1,0,0
2,36,0,3,1,0,3.652,2,1,1,45,4330,458,0,1372481580.0,1373542920.0,1061340.0,3,1,1,95,0,0,0,0,0,0,0,1,0,0,1,0,0
5,753,0,5,5,0,7.051,1,0,2,91,39867,1669,0,1331355780.0,1331355780.0,0.0,5,1,1,85,0,0,0,0,0,0,1,0,0,0,0,0,1
5,26,0,5,17,0,7.889,3,1,4,46,7102,688,0,1542143580.0,1542238440.0,94860.0,5,1,1,89,1,0,0,0,0,0,0,0,0,1,0,0,0
2,97,0,5,0,0,1.803,1,0,1,185,11248,705,0,1372488360.0,1372488360.0,0.0,5,1,1,266,0,0,0,0,1,0,0,0,0,0,0,0,1
2,5,0,6,10,0,2.6710000000000003,1,0,1,28,2788,202,0,1542166200.0,1542166200.0,0.0,6,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,4,0,0,11.078,3,1,4,31,1762,171,0,1542174300.0,1543472220.0,1297920.0,4,1,1,224,0,0,0,0,0,0,0,0,1,0,1,0,0
0,10,0,4,0,0,11.827,3,1,4,32,2851,312,0,1542174720.0,1543472820.0,1298100.0,4,1,1,224,0,0,0,0,0,0,0,0,1,0,1,0,0
1,5,0,4,0,1,2.003,1,0,2,16,2124,134,0,1542178860.0,1542178860.0,0.0,4,9,0,59,1,1,1,1,1,1,1,1,1,0,0,0,0
11,72,1,2,93,0,14.693,1,1,4,163,25557,1920,0,1542179280.0,1542179280.0,0.0,3,1,1,118,0,0,0,0,0,0,0,0,1,0,0,1,0
0,74,0,7,0,0,2.363,1,1,3,16,2135,77,0,1372496280.0,1372496280.0,0.0,7,1,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,6.001,2,1,3,1,1200,24,0,1542186060.0,1542241620.0,55560.0,0,1,2,266,0,0,0,0,0,1,0,0,0,1,1,0,0
7,45,0,4,2,0,6.726,1,1,3,32,11263,753,0,1542186540.0,1542186540.0,0.0,4,1,2,266,0,0,0,0,0,1,0,0,0,1,1,0,0
2,27,0,4,1,0,6.447,2,1,5,18,4869,239,0,1542192180.0,1542194040.0,1860.0,4,1,1,89,0,0,0,1,0,0,0,0,0,0,1,0,0
0,4,0,8,0,0,15.943,1,0,2,11,1755,102,0,1542194340.0,1542194340.0,0.0,8,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,5,1,0,17.994,1,0,1,24,2130,132,0,1542228600.0,1607251560.0,65022960.0,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,0,7,0,1,4.478,2,1,1,2,950,22,0,1372506060.0,1372777500.0,271440.0,7,1,1,10,0,0,0,0,0,1,0,0,0,1,0,0,0
1,7,1,2,0,0,5.139,1,1,1,5,1249,76,0,1372509120.0,1372509120.0,0.0,3,1,1,51,0,0,0,1,0,0,0,0,0,1,0,0,0
2,9,0,20,3,0,54.932,1,0,2,17,2609,171,0,1542263220.0,1542263220.0,0.0,20,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,2,0,0,6.832,1,1,1,15,1708,93,0,1372514880.0,1372514880.0,0.0,2,1,1,266,0,0,0,0,0,1,0,0,0,1,0,0,0
0,67,0,3,0,0,2.979,1,1,1,40,3026,190,0,1372515540.0,1372515540.0,0.0,3,1,1,15,0,0,0,0,0,1,0,0,0,1,0,0,0
2,80,0,3,0,0,2.987,1,1,1,30,3920,207,0,1372515960.0,1372515960.0,0.0,3,1,1,15,0,0,0,1,0,0,0,0,0,1,0,0,0
1,102,0,3,0,0,2.997,1,1,1,50,3422,191,0,1372516260.0,1372516260.0,0.0,3,1,1,15,0,0,0,0,1,0,0,0,0,1,0,0,0
0,15,0,2,0,1,3.263,2,1,1,9,2245,70,0,1372516380.0,1372557780.0,41400.0,2,1,1,172,0,1,0,0,0,0,0,0,0,1,0,0,0
1,101,0,3,0,0,3.012,1,1,1,42,3754,262,0,1372516380.0,1372516380.0,0.0,3,1,1,15,0,0,0,0,0,0,1,0,0,1,0,0,0
1,294,0,3,2,0,2.955,1,1,1,156,11756,728,0,1372516560.0,1372516560.0,0.0,3,1,1,15,0,0,1,0,0,0,0,0,0,1,0,0,0
1,129,0,3,1,0,2.977,1,1,1,56,4346,221,0,1372516740.0,1372516740.0,0.0,3,1,1,15,1,0,0,0,0,0,0,0,0,1,0,0,0
1,61,0,3,0,0,2.995,1,1,1,37,2936,156,0,1372516920.0,1372516920.0,0.0,3,1,1,15,0,0,0,0,0,0,0,1,0,1,0,0,0
2,179,0,3,0,0,2.966,1,1,1,38,4973,293,0,1372517040.0,1372517040.0,0.0,3,1,1,15,0,1,0,0,0,0,0,0,0,1,0,0,0
0,69,0,3,0,0,3.204,1,1,1,46,3568,200,0,1372517220.0,1372517220.0,0.0,3,1,1,15,0,0,0,0,0,0,0,0,1,1,0,0,0
1,21,0,2,0,1,3.076,1,1,1,14,1707,109,0,1372517640.0,1372517640.0,0.0,2,1,1,172,0,1,0,0,0,0,0,0,0,0,1,0,0
0,3,0,4,0,0,2.165,1,0,2,9,967,38,0,1542278400.0,1542278400.0,0.0,4,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
0,110,1,2,0,2,6.833,3,1,1,110,4411,425,0,1372530780.0,1372686000.0,155220.0,3,9,1,20,1,1,1,1,1,1,1,1,1,1,0,0,0
0,2,0,4,1,0,8.287,1,0,1,7,1101,31,0,1542338040.0,1542338040.0,0.0,4,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,6,0,0,2.339,1,0,2,12,1560,56,0,1542341580.0,1542341580.0,0.0,6,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,4,0,0,6.569,1,1,1,11,1101,96,0,1542348420.0,1542348420.0,0.0,4,9,1,116,1,1,1,1,1,1,1,1,1,1,0,0,0
3,10,0,4,11,0,6.939,3,1,1,35,4398,417,0,1542348780.0,1565800500.0,23451720.0,4,1,1,116,0,0,0,0,0,0,0,0,1,0,1,0,0
1,11,0,3,0,0,3.095,5,1,1,5,1336,22,0,1372541340.0,1372695360.0,154020.0,3,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
4,27,0,7,0,0,7.971,2,1,5,26,3003,247,0,1542352920.0,1542370020.0,17100.0,7,4,1,154,0,1,0,0,1,1,0,1,0,0,1,0,0
3,404,0,4,6,0,7.184,2,1,2,407,18186,2428,0,1372543740.0,1385008200.0,12464460.0,4,6,1,172,1,1,0,1,1,1,1,0,0,0,1,0,0
0,4,0,3,0,0,0.269,1,0,1,6,1034,43,0,1542363480.0,1542363480.0,0.0,3,9,0,6,1,1,1,1,1,1,1,1,1,0,0,0,0
1,87,0,1,0,0,0.323,1,0,1,77,9252,493,0,1331364600.0,1331364600.0,0.0,1,1,1,37,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,1,3,0,0,20.136,1,0,1,5,1132,25,0,1542387120.0,1568129400.0,25742280.0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,0,6,0,0,3.24,2,1,1,15,2072,71,0,1372556940.0,1372615860.0,58920.0,6,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
3,6,0,4,0,0,1.06,1,0,2,6,1632,71,0,1542391500.0,1542391500.0,0.0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,3,0,0,5.58,1,1,3,35,2161,246,0,1542393900.0,1542393900.0,0.0,3,1,1,116,1,0,0,0,0,0,0,0,0,0,1,0,0
7,23,0,3,9,0,6.954,2,1,3,122,9542,844,0,1542393960.0,1565800980.0,23407020.0,3,1,1,116,1,0,0,0,0,0,0,0,0,0,1,0,0
6,26,0,3,4,0,5.532,1,1,3,72,5730,522,0,1542394200.0,1542394200.0,0.0,3,1,1,116,1,0,0,0,0,0,0,0,0,1,0,0,0
4,37,0,11,0,0,9.226,2,1,2,45,3215,268,0,1372564080.0,1624473480.0,251909400.0,11,9,1,75,1,1,1,1,1,1,1,1,1,1,0,0,0
0,49,0,0,0,0,1.363,6,0,4,5,1315,51,0,1318709580.0,1319169900.0,460320.0,0,2,1,6,0,0,0,0,1,1,0,0,0,1,0,0,0
0,11,0,2,0,0,0.892,1,0,1,7,1788,60,0,1542421620.0,1542421620.0,0.0,2,9,0,13,1,1,1,1,1,1,1,1,1,0,0,0,0
1,10,0,2,0,0,3.248,1,1,1,13,1741,63,0,1372575720.0,1372575720.0,0.0,2,1,1,37,1,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0,3,0,0,3.761,1,1,1,0,935,19,0,1542441780.0,1542441780.0,0.0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4,0,7,0,0,5.365,2,1,2,22,1097,137,0,1542444180.0,1542444300.0,120.0,7,1,1,209,0,0,0,0,0,0,0,1,0,1,0,0,0
1,4,0,6,0,0,5.759,1,1,2,9,770,91,0,1542444600.0,1542444600.0,0.0,6,1,1,209,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,5,0,0,4.694,1,1,2,7,567,96,0,1542444720.0,1542444720.0,0.0,5,1,1,209,0,0,0,0,0,0,0,1,0,0,1,0,0
11,40,0,7,47,0,5.813,2,1,3,42,11716,918,0,1542451620.0,1564779420.0,22327800.0,7,1,1,430,1,0,0,0,0,0,0,0,0,0,1,0,0
0,53,0,0,0,0,3.152,1,1,1,7,2678,119,0,1372581300.0,1372581300.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0,7,0,3,0,0,4.946,1,1,5,5,1304,53,0,1542453720.0,1542453720.0,0.0,3,1,1,172,0,0,0,0,0,1,0,0,0,1,0,0,0
0,6,0,5,0,0,3.15,1,1,1,9,990,53,0,1372582980.0,1372582980.0,0.0,5,1,1,84,0,0,0,0,1,0,0,0,0,0,1,0,0
0,17,0,4,1,0,4.975,1,0,1,7,1980,113,0,1542459120.0,1542459120.0,0.0,4,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0
1,8,0,6,0,0,6.161,2,1,4,16,2396,174,0,1542459360.0,1542488880.0,29520.0,6,9,1,93,1,1,1,1,1,1,1,1,1,0,1,0,0
0,33,0,3,0,1,3.084,2,1,1,24,2860,146,0,1372584480.0,1372585620.0,1140.0,3,1,1,172,0,0,1,0,0,0,0,0,0,1,0,0,0
0,17,0,4,0,0,6.619,1,1,2,18,2490,211,0,1372593720.0,1372593720.0,0.0,4,1,1,380,0,0,1,0,0,0,0,0,0,0,1,0,0
1,21,0,7,0,0,0.975,1,0,3,19,2472,107,0,1331371920.0,1331371920.0,0.0,7,1,1,23,1,0,0,0,0,0,0,0,0,1,0,0,0
0,26,0,3,0,0,5.299,2,1,2,14,2303,154,0,1372595400.0,1372975320.0,379920.0,3,1,1,16,0,0,1,0,0,0,0,0,0,0,1,0,0
0,4,0,2,0,0,3.9530000000000003,1,1,2,8,1522,72,0,1372595940.0,1372595940.0,0.0,2,1,1,16,0,0,1,0,0,0,0,0,0,1,0,0,0
0,29,0,2,0,0,7.555,1,1,2,30,2680,139,0,1372596600.0,1372596600.0,0.0,2,9,2,77,1,1,1,1,1,1,1,1,1,1,1,0,0
0,52,0,3,0,0,4.204,1,1,1,14,1725,95,0,1372599120.0,1372599120.0,0.0,3,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0
1,85,0,5,0,0,5.765,2,1,2,59,4146,499,0,1372601280.0,1372639920.0,38640.0,5,1,1,100,0,0,1,0,0,0,0,0,0,1,0,0,0
2,4,0,5,1,0,5.001,2,1,3,27,2233,179,0,1542518280.0,1631647560.0,89129280.0,5,2,1,75,0,1,0,1,0,0,0,0,0,1,0,0,0
0,3,0,5,1,0,4.709,1,1,3,23,1781,132,0,1542518580.0,1542518580.0,0.0,5,2,1,75,0,1,0,1,0,0,0,0,0,1,0,0,0
0,17,0,2,0,1,3.6390000000000002,2,1,2,9,1578,71,0,1372604160.0,1372607100.0,2940.0,2,1,1,42,1,0,0,0,0,0,0,0,0,1,0,0,0
0,121,0,5,1,1,5.376,3,1,1,92,7136,638,0,1372604280.0,1372740420.0,136140.0,5,1,1,266,0,1,0,0,0,0,0,0,0,1,0,0,0
0,87,0,2,0,0,6.74,1,1,3,142,5793,622,0,1372605360.0,1372605360.0,0.0,2,1,1,39,0,0,1,0,0,0,0,0,0,0,1,0,0
0,6,0,7,0,0,6.814,1,1,2,9,686,54,0,1542534120.0,1542534120.0,0.0,7,1,1,64,0,0,1,0,0,0,0,0,0,1,0,0,0
1,12,0,5,0,0,6.841,1,1,2,11,1094,105,0,1542534540.0,1542534540.0,0.0,5,1,1,64,0,0,1,0,0,0,0,0,0,0,1,0,0
0,2,0,11,0,0,1.619,1,0,2,9,1377,66,0,1542542640.0,1542542640.0,0.0,11,9,0,15,1,1,1,1,1,1,1,1,1,0,0,0,0
0,4,0,5,1,0,6.607,2,1,2,0,936,33,0,1542544200.0,1542625560.0,81360.0,5,1,1,64,0,0,1,0,0,0,0,0,0,1,0,0,0
0,6,1,1,0,0,0.015,2,0,3,10,1852,71,0,1542561180.0,1624830840.0,82269660.0,2,9,0,170,1,1,1,1,1,1,1,1,1,0,0,0,0
1,1,0,3,0,0,0.6890000000000001,1,0,1,7,1416,41,0,1542581340.0,1542581340.0,0.0,3,9,0,23,1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,3,0,0,5.221,1,0,1,11,1554,75,0,1542581760.0,1581312720.0,38730960.0,3,8,1,23,1,1,1,1,1,1,1,0,1,0,1,0,0
0,4,0,3,0,0,21.113,1,0,1,8,1299,53,0,1542582840.0,1542582840.0,0.0,3,9,0,23,1,1,1,1,1,1,1,1,1,0,0,0,0
0,5,0,3,0,0,21.269,1,0,1,9,1319,69,0,1542583260.0,1542583260.0,0.0,3,9,0,23,1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,3,0,0,21.24,1,0,1,8,1284,49,0,1542584220.0,1542584220.0,0.0,3,9,0,23,1,1,1,1,1,1,1,1,1,0,0,0,0
1,62,0,3,0,0,0.79,3,0,1,15,2494,160,0,1331375880.0,1331920740.0,544860.0,3,3,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0
9,41,0,4,9,0,7.055,1,1,3,76,14624,801,0,1542600900.0,1542600900.0,0.0,4,1,1,216,0,0,0,0,1,0,0,0,0,1,0,0,0
0,10,0,4,0,0,7.489,3,1,3,48,4476,337,0,1542601260.0,1573196520.0,30595260.0,4,1,1,216,0,0,0,0,1,0,0,0,0,0,1,0,0
0,9,0,3,0,0,5.416,1,1,3,29,2655,196,0,1542601560.0,1542601560.0,0.0,3,1,1,216,0,0,0,0,1,0,0,0,0,0,1,0,0
1,4,0,5,0,0,5.799,1,1,4,16,2522,114,0,1542601680.0,1542601680.0,0.0,5,1,1,224,0,0,1,0,0,0,0,0,0,0,1,0,0
0,51,2,4,1,0,6.987,2,0,1,19,4400,231,0,1331377200.0,1340538360.0,9161160.0,6,9,1,195,1,1,1,1,1,1,1,1,1,0,0,0,1
3,23,0,4,1,0,7.041,2,1,3,31,5215,448,0,1542610980.0,1570037160.0,27426180.0,4,1,2,426,0,0,0,0,0,1,0,0,0,1,1,0,0
0,11,0,13,2,0,8.864,1,0,1,9,1847,93,0,1542623100.0,1542623100.0,0.0,13,9,0,172,1,1,1,1,1,1,1,1,1,0,0,0,0
1,37,0,7,0,0,1.802,1,0,2,32,3401,112,0,1372651380.0,1372651380.0,0.0,7,1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,1
0,22,0,5,0,0,0.992,1,0,2,20,1936,86,0,1372651920.0,1372651920.0,0.0,5,1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,1
0,4,0,5,0,0,0.611,1,0,2,9,1099,60,0,1372652100.0,1372652100.0,0.0,5,1,1,10,0,0,0,1,0,0,0,0,0,1,0,0,0
2,18,0,6,0,0,0.884,1,0,2,23,1751,88,0,1372652280.0,1372652280.0,0.0,6,1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,1
0,6,0,43,0,0,3.6470000000000002,1,1,1,1,736,10,0,1542651480.0,1542651480.0,0.0,43,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
11,62,1,6,13,0,8.197,1,1,2,39,6375,626,0,1542654480.0,1542654480.0,0.0,7,1,1,124,1,0,0,0,0,0,0,0,0,0,1,0,0
0,14,0,8,0,0,4.481,2,0,1,3,1348,29,0,1542656700.0,1545143040.0,2486340.0,8,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
4,19,0,4,4,0,6.399,1,1,4,19,2781,199,0,1542674220.0,1542674220.0,0.0,4,9,1,430,1,1,1,1,1,1,1,1,1,1,0,0,0
0,2,0,3,0,0,7.217,3,1,1,11,683,63,0,1542690420.0,1542729960.0,39540.0,3,1,1,43,0,0,1,0,0,0,0,0,0,0,1,0,0
0,60,1,3,0,0,5.895,4,1,1,99,3775,224,0,1372665540.0,1372846800.0,181260.0,4,9,1,17,1,1,1,1,1,1,1,1,1,1,0,0,0
0,2,0,6,0,0,1.249,1,0,2,10,1604,66,0,1542701100.0,1542701100.0,0.0,6,9,0,24,1,1,1,1,1,1,1,1,1,0,0,0,0
3,11,0,4,0,0,5.047,2,1,2,11,2150,153,0,1542710040.0,1542798720.0,88680.0,4,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2,4,0,9,4,0,0.649,1,0,1,21,2901,248,0,1542714840.0,1594042980.0,51328140.0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,874,0,2,4,0,2.916,1,0,2,190,36611,1643,0,1335348600.0,1335348600.0,0.0,2,1,1,28,0,0,0,0,0,1,0,0,0,0,0,0,1
0,29,0,6,0,0,3.436,1,1,1,38,2651,139,0,1372672260.0,1372672260.0,0.0,6,4,1,3,0,1,1,0,0,1,0,1,0,0,1,0,0
17,87,0,6,32,0,6.673,1,1,3,30,8966,671,0,1542728880.0,1542728880.0,0.0,6,9,1,22,1,1,1,1,1,1,1,1,1,1,0,0,0
2,16,0,7,1,0,0.23500000000000001,1,0,1,16,2622,150,0,1542738240.0,1542738240.0,0.0,7,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,1
3,37,0,5,55,0,6.648,1,1,3,10,3161,322,0,1542744720.0,1542744720.0,0.0,5,1,1,78,0,0,0,0,1,0,0,0,0,0,1,0,0
0,11,0,3,0,0,7.433,1,1,1,21,1070,132,0,1372677540.0,1372677540.0,0.0,3,9,1,426,1,1,1,1,1,1,1,1,1,1,0,0,0
0,3,0,3,0,0,21.014,1,0,1,10,1332,60,0,1542751020.0,1542751020.0,0.0,3,9,0,23,1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,3,0,0,6.605,1,0,1,10,1204,48,0,1542751080.0,1581312720.0,38561640.0,3,8,1,23,1,1,1,1,1,1,1,0,1,0,1,0,0
0,43,0,3,0,0,3.292,1,1,1,39,2196,208,0,1372677720.0,1372677720.0,0.0,3,4,0,426,1,1,1,1,0,0,0,0,0,0,0,0,0
5,214,1,2,1,0,0.095,1,0,2,284,11377,784,0,1372678080.0,1372678080.0,0.0,3,4,1,426,1,1,0,0,0,1,0,0,1,0,0,0,1
7,31,0,3,3,0,5.348,1,1,3,21,3536,281,0,1542774960.0,1542774960.0,0.0,3,1,1,154,0,0,0,0,0,0,0,1,0,1,0,0,0
3,10,1,3,1,0,6.016,1,0,4,49,5054,256,0,1542790260.0,1542790260.0,0.0,4,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,1
